pond_code,invasion,species,degree,closeness
ZJJ_site163,N,Fejervarya_multistriata,-6.033543274,-33.23088818
ZJJ_site163,N,Microhyla_fissipes,-10.02870493,33.230888177085326
CZ_site005,N,Fejervarya_multistriata,-2.051131202,-25.09284612
CZ_site005,N,Rana_zhenhaiensis,-8.416569113,25.092846118168215
FD_site049,N,Fejervarya_multistriata,-0.92907641,26.061727049252298
FD_site049,N,Microhyla_fissipes,-9.156635559,-63.9653054
FD_site049,N,Pelophylax_nigromaculatus,-9.355453212,108.39502556380911
LH_site068,Y,Fejervarya_multistriata,-4.394964221,-22.3086014
LH_site068,Y,Lithobates_catesbeianus,-6.423877231,-6.743684234
LH_site068,Y,Microhyla_fissipes,-5.076543821,-25.37805348
LH_site076,Y,Fejervarya_multistriata,-0.993261348,28.683632302951665
LH_site076,Y,Lithobates_catesbeianus,-3.844877718,-13.93148863
LH_site076,Y,Microhyla_fissipes,-7.900947634,-17.47946951
LH_site074,Y,Fejervarya_multistriata,-2.48044519,-43.94308086
LH_site074,Y,Lithobates_catesbeianus,-8.402069114,-36.24839505
LH_site074,Y,Pelophylax_nigromaculatus,-2.903179433,-44.78051443
LH_site074,Y,Pelophylax_plancyi,-1.296271408,-45.06106597
MY_site080,N,Fejervarya_multistriata,-7.741722084,-34.71751575
MY_site080,N,Pelophylax_nigromaculatus,-11.23473133,34.71751575460718
QS_site102,N,Bufo_gargarizans,-10.24307754,6.020018923993614
QS_site102,N,Fejervarya_multistriata,2.4975073809498647,-6.020018924
QS_site099,N,Bufo_gargarizans,-8.900852838,14.697131350231528
QS_site099,N,Fejervarya_multistriata,0.623460812,-14.69713135
TH_site111,N,Fejervarya_multistriata,-1.632786148,-38.06942529
TH_site111,N,Pelophylax_nigromaculatus,-6.567127211,-38.31237769
TH_site111,N,Pelophylax_plancyi,-9.266364911,81.97532599722429
XCT_site126,Y,Bufo_gargarizans,-4.323799966,2.2378710337064542
XCT_site126,Y,Fejervarya_multistriata,6.383104701,-11.72412864
XCT_site126,Y,Lithobates_catesbeianus,-5.703163044,8.620037361
XCT_site126,Y,Microhyla_fissipes,-0.339637887,-0.796171557
XCT_site126,Y,Pelophylax_plancyi,-2.29570767,-10.12489908
XS_site128,Y,Fejervarya_multistriata,-3.410887604,-21.7585973
XS_site128,Y,Lithobates_catesbeianus,-4.483182862,11.285285634709348
XS_site128,Y,Microhyla_fissipes,-2.921816654,12.903589107340146
XZ_site124,N,Fejervarya_multistriata,-0.377815605,-12.81117298
XZ_site124,N,Microhyla_fissipes,-6.474941796,12.81117297612383
XZ_site120,N,Fejervarya_multistriata,4.459867987761241,-6.357842864
XZ_site120,N,Microhyla_fissipes,-8.143903753,6.357842864178557
XZ_site122,N,Fejervarya_multistriata,0.3678168576671904,-4.758496954
XZ_site122,N,Microhyla_fissipes,-8.801773855,4.758496954
XZ_site119,Y,Fejervarya_multistriata,0.03540067,-7.236114725
XZ_site119,Y,Lithobates_catesbeianus,1.8432447908633731,-7.72615157
XZ_site119,Y,Pelophylax_nigromaculatus,-8.751247448,11.569695636256055
DS_site016,Y,Fejervarya_multistriata,2.4553513185891047,1.0133282521072802
DS_site016,Y,Lithobates_catesbeianus,0.16439127479613033,-7.16901276
DS_site016,Y,Microhyla_fissipes,-4.472268067,5.595112531159653
DS_site029,Y,Bufo_gargarizans,-2.05551781,5.988387230407317
DS_site029,Y,Fejervarya_multistriata,-0.941830734,-6.248070642
DS_site029,Y,Lithobates_catesbeianus,10.394299949333805,-9.393762413
DS_site029,Y,Rana_zhenhaiensis,-4.198916067,7.598426000354903
DS_site021,Y,Bufo_gargarizans,3.388540846442621,-2.381995073
DS_site021,Y,Fejervarya_multistriata,-1.571281954,-3.009494861
DS_site021,Y,Lithobates_catesbeianus,-3.127300772,4.348682214428214
DS_site032,Y,Bufo_gargarizans,-3.297022808,10.191957726650102
DS_site032,Y,Fejervarya_multistriata,3.3846937886114667,-20.59292611
DS_site032,Y,Lithobates_catesbeianus,-5.744576587,22.760433442555215
DS_site032,Y,Microhyla_fissipes,-4.699171808,-26.22106189
DS_site032,Y,Rana_zhenhaiensis,-5.811743335,3.9773682221078777
DS_site037,N,Bufo_gargarizans,-3.57535264,-5.117353327
DS_site037,N,Fejervarya_multistriata,-1.959811919,-16.50261419
DS_site037,N,Rana_zhenhaiensis,-1.918959418,21.888680408362333
DS_site031,Y,Bufo_gargarizans,-1.310495878,-3.069944587
DS_site031,Y,Fejervarya_multistriata,1.2374100089149047,-3.841357567
DS_site031,Y,Lithobates_catesbeianus,-6.684113795,3.5821998486350064
DS_site024,N,Bufo_gargarizans,-1.910007047,2.3641960934489945
DS_site024,N,Fejervarya_multistriata,3.1450823294031465,-8.19815564
DS_site024,N,Microhyla_fissipes,-1.028593929,-5.818883642
ZJJ_site165,N,Bufo_gargarizans,3.190631653356241,-7.365747957
ZJJ_site165,N,Fejervarya_multistriata,0.040360933,1.8488993909384597
ZJJ_site165,N,Hylarana_latouchii,-4.650916053,0.5270224834429729
ZJJ_site165,N,Microhyla_fissipes,-6.352422404,-1.11601489
XS_site129,N,Bufo_gargarizans,-4.625994815,21.925511865402154
XS_site129,N,Fejervarya_multistriata,5.706981738852826,-21.92551187
ZSM_site151,N,Bufo_gargarizans,-2.108198541,4.0414986228285334
ZSM_site151,N,Fejervarya_multistriata,-0.905147349,2.1668106180145257
ZSM_site151,N,Microhyla_fissipes,2.907425119,-6.89219006
ZSM_site144,Y,Fejervarya_multistriata,-1.090442215,-41.58920215
ZSM_site144,Y,Lithobates_catesbeianus,0.5213278543170478,25.69715768543662
ZSM_site144,Y,Polypedates_megacephalus,-2.566124379,27.88390714504758
ZSM_site144,Y,Rana_zhenhaiensis,-1.023650596,24.222716827107917
ZSM_site149,Y,Fejervarya_multistriata,0.7546072082764714,-5.332222074
ZSM_site149,Y,Lithobates_catesbeianus,-2.891199786,-2.943553752
ZSM_site149,Y,Pelophylax_nigromaculatus,-4.921419609,14.81227443183673
ZSM_site149,Y,Polypedates_megacephalus,-3.982386972,-9.552691443
ZJJ_site164,N,Bufo_gargarizans,-5.903321232,-15.02544216
ZJJ_site164,N,Fejervarya_multistriata,-5.108040549,-17.2162783
ZJJ_site164,N,Hyla_chinensis,-5.167690129,-12.18659288
ZJJ_site164,N,Pelophylax_nigromaculatus,-8.925217784,-4.672716725
ZJJ_site164,N,Rana_zhenhaiensis,-9.210670749,8.547162962815138
LH_site071,Y,Fejervarya_multistriata,-2.522009391,30.38510054
LH_site071,Y,Lithobates_catesbeianus,-5.931966595,7.432329099853193
LH_site071,Y,Pelophylax_nigromaculatus,-2.474583916,-46.70307705
LH_site063,N,Microhyla_fissipes,-0.701912307,14.073984308724835
LH_site063,N,Rana_zhenhaiensis,-7.524083458,-14.07398431
YS_site137,N,Fejervarya_multistriata,-7.321284787,NA
YS_site137,N,Rana_zhenhaiensis,-5.85005069,NA
YS_site137,N,1,NA,NA
YS_site137,N,2,NA,NA
XZ_site118,N,Fejervarya_multistriata,-2.982889461,NA
XZ_site118,N,Pelophylax_nigromaculatus,-1.015621881,NA
XZ_site118,N,1,NA,NA
XZ_site118,N,2,NA,NA
XCT_site127,N,Bufo_gargarizans,-1.337403045,-31.46304336
XCT_site127,N,Rana_zhenhaiensis,-3.991861793,31.463043361172183
QS_site097,N,Bufo_gargarizans,-5.397996245,-4.990931432
QS_site097,N,Fejervarya_multistriata,0.2915806111604313,-4.203592463
QS_site097,N,Rana_zhenhaiensis,-1.429210622,4.233494013097978
QS_site101,N,Bufo_gargarizans,2.6274861059235515,-11.12635371
QS_site101,N,Fejervarya_multistriata,-3.841824906,-16.22654576
QS_site101,N,Rana_zhenhaiensis,-5.658912617,11.957345003087736
DYS_site014,N,Bufo_gargarizans,-8.744738139,19.42314898599388
DYS_site014,N,Fejervarya_multistriata,0.8029768742272917,-19.42314899
JP_site056,N,Bufo_gargarizans,-4.614126912,-25.55394648
JP_site056,N,Fejervarya_multistriata,-0.896610436,-33.81005033
JP_site056,N,Rana_zhenhaiensis,-4.794663726,11.122878072915476
SJ_site106,N,Bufo_gargarizans,0.14990794721440656,-79.27382823
SJ_site106,N,Fejervarya_multistriata,-28.41435359,79.27382823073663
ZJJ_site167,N,Bufo_gargarizans,-2.31825392,-0.958873406
ZJJ_site167,N,Fejervarya_multistriata,0.6881426615031545,0.9588734063294434
SS_site103,N,Bufo_gargarizans,-7.818124766,31.30476524009567
SS_site103,N,Fejervarya_multistriata,0.5321415235350525,-31.30476524
SS_site104,N,Bufo_gargarizans,5.042555406645602,-27.76615495
SS_site104,N,Fejervarya_multistriata,-5.730694965,-37.66767781
SS_site104,N,Rana_zhenhaiensis,-7.673176084,-26.27747572
GQ_site054,N,Bufo_gargarizans,-4.860946666,6.757308631502412
GQ_site054,N,Fejervarya_multistriata,-2.148163432,-6.757308632
LJZ_site077,N,Bufo_gargarizans,-5.164281572,-16.15857677
LJZ_site077,N,Fejervarya_multistriata,3.9661577243110817,-6.228267781
LJZ_site077,N,Pelophylax_plancyi,-4.143959604,20.838306739323972
JT_site060,N,Bufo_gargarizans,-1.962156652,8.512234629658044
JT_site060,N,Fejervarya_multistriata,-7.5577001,-15.58924045
JT_site060,N,Pelophylax_nigromaculatus,-9.119413491,-8.643426209
JT_site060,N,Pelophylax_plancyi,-3.368075378,-14.27924967
JT_site060,N,Rana_zhenhaiensis,-3.737522589,10.546244695740176
JT_site058,N,Bufo_gargarizans,-8.676107199,58.050548142217686
JT_site058,N,Fejervarya_multistriata,-2.294993915,-36.9619764
JT_site058,N,Pelophylax_nigromaculatus,-7.897335953,2.4965235395798815
JT_site058,N,Rana_zhenhaiensis,2.929332877203235,-37.97131286
CZ_site142,N,Bufo_gargarizans,-7.72896248,17.489696079140547
CZ_site142,N,Fejervarya_multistriata,-3.574879325,-13.87736913
CZ_site142,N,Pelophylax_nigromaculatus,-6.235286242,-19.24151455
CZ_site142,N,Rana_zhenhaiensis,-8.496604792,-11.4219641
